000001.SS,^GSPC,^N225,^STOXX,Index
3413.574951,2590.639893,22937.59961,394.6499939,7500.533814
3415.459961,2594.379883,22913.82031,394.4500122,7831.572145
3427.794922,2584.620117,22868.71094,390.0700073,7528.989802
3432.673096,2582.300049,22681.41992,388.6900024,6976.86795
3447.835938,2584.840088,22380.99023,386.1300049,6937.811616
3429.548096,2578.870117,22380.00977,383.8599854,7036.274956
3402.524902,2564.620117,22028.32031,381.9599915,7712.933217
3399.25,2585.639893,22351.11914,384.9299927,8273.871497
3382.907959,2578.850098,22396.80078,383.7999878,8109.138669
3392.398926,2582.139893,22261.75977,386.3900146,8639.814223
3410.498047,2599.030029,22416.48047,388.1000061,8501.872366
3430.464111,2597.080078,22523.15039,387.0599976,8706.291676
3352.989014,2597.080078,22523.15039,387.1199951,8522.351229
3353.821045,2602.419922,22550.84961,386.6300049,8806.791043
3322.22998,2601.419922,22495.99023,384.8699951,10390.54208
3333.656982,2627.040039,22486.24023,387.019989,10628.03178
3337.862061,2626.070068,22597.19922,387.9599915,10401.93933
3317.187988,2647.580078,22724.96094,386.6900024,10769.33467
3317.616943,2642.219971,22819.0293,383.9700012,11541.45249
3309.61792,2639.439941,22707.16016,387.4700012,12232.00566
3303.675049,2629.570068,22622.38086,386.7399902,12482.81957
3293.965088,2629.27002,22177.03906,386.3200073,14820.84942
3272.053955,2636.97998,22498.0293,386.4100037,18432.76517
3289.991943,2651.5,22811.08008,389.25,17150.63809
3322.196045,2659.98999,22938.73047,389.0499878,17666.52175
3280.813965,2664.110107,22866.16992,391.6300049,18383.35573
3303.037109,2662.850098,22758.07031,390.7000122,17413.9644
3292.438965,2652.01001,22694.44922,388.9100037,17539.69324
3266.136963,2675.810059,22553.2207,388.1900024,18691.66164
3267.922119,2690.159912,22901.76953,392.6600037,20268.13334
3296.538086,2681.469971,22868,391.019989,18954.74584
3287.605957,2679.25,22891.7207,388.3699951,17759.16556
3300.059082,2684.570068,22866.09961,390.6900024,16942.32752
3297.062988,2683.340088,22902.75977,390.2799988,14772.42582
3280.839111,2683.340088,22939.17969,390.2799988,15066.7419
3306.125,2680.5,22892.68945,390.2799988,17161.08969
3275.782959,2682.620117,22911.21094,390.5400085,16874.43567
3296.38501,2687.540039,22783.98047,389.5400085,15594.3674
3307.172119,2673.610107,22764.93945,389.1799927,15656.30982
3348.325928,2695.810059,22764.93945,389.1799927,16123.68388
3369.10791,2713.060059,22764.93945,390.2200012,16410.84879
3385.709961,2723.98999,23506.33008,393.6799927,16823.59068
3391.75,2743.149902,23714.5293,397.3500061,18678.39801
3409.47998,2747.709961,23714.5293,398.4100037,16576.66894
3413.899902,2751.290039,23849.99023,400.1099854,16144.22041
3421.833984,2748.22998,23788.19922,398.6000061,16481.61959
3425.344971,2767.560059,23710.42969,397.25,14791.7946
3428.940918,2786.23999,23653.82031,398.4899902,15492.60463
3410.488037,2786.23999,23714.88086,397.8299866,15346.15013
3436.593994,2776.419922,23951.81055,398.3500061,12733.90388
3444.670898,2802.560059,23868.33984,397.9700012,12390.69335
3474.753906,2798.030029,23763.36914,398.730011,12705.4215
3487.864014,2810.300049,23808.06055,400.8800049,12840.92777
3501.362061,2832.969971,23816.33008,402.1099854,12116.04171
3546.504883,2839.129883,24124.15039,402.8099976,12033.80139
3559.465088,2837.540039,23940.7793,400.7900085,12599.58249
3548.306885,2839.25,23669.49023,398.5599976,12497.10036
3558.128906,2872.870117,23631.88086,400.5700073,12404.63766
